train,val,train_height,train_width,val_height,val_width,train_end_idx,val_end_idx
rhino,bear,854,480,854,480,89,81
car-shadow,bus,854,480,854,480,39,79
surf,boat,854,480,854,480,54,74
rhino,elephant,854,480,854,480,89,79
blackswan,flamingo,854,480,854,480,49,79
tennis,hike,854,480,854,480,69,79
bear,koala,854,480,854,480,81,99
tennis,lucia,854,480,854,480,69,69
mallard-fly,mallard-water,854,480,854,480,69,79
rhino,pigs,854,480,854,480,89,78
surf,planes-water,854,480,854,480,54,37
bear,rhino,854,480,854,480,81,89
tennis,snowboard,854,480,854,480,69,65
mallard-water,soccerball,854,480,854,480,79,47
mallard-water,surf,854,480,854,480,79,54
bus,train,854,480,854,480,79,79
elephant,elephant,854,480,854,480,79,79
camel,blackswan,854,480,854,480,89,49
surf,elephant,854,480,854,480,54,79
mallard-water,rhino,854,480,854,480,79,89
cows,flamingo,854,480,854,480,103,79
bus,blackswan,854,480,854,480,79,49
elephant,surf,854,480,854,480,79,54
surf,car-shadow,854,480,854,480,54,39
